quote_id,flower_id,excerpt_type,text_ko,text_original,author,source_title,source_url,license,translator,era,tags,caveat,pd_basis,reviewed_at
q-001,,,말보다 먼저 도착하는 마음도 있습니다.,,DearBloom 편집팀,,,original,,modern,apology|comfort,,,2026-08-14
q-002,,,"미안하다는 말은 늦어도, 진심은 늦지 않기를.",,DearBloom 편집팀,,,original,,modern,apology|sincere,,,2026-08-14
q-003,,,로즈메리는 기억을 위한 것이에요. 부디 기억해 주세요.,,윌리엄 셰익스피어,햄릿 4막 5장,https://www.gutenberg.org/ebooks/1524,pd,,1600s,remembrance|comfort,,,2026-08-14
q-lit-rose-burns,rose-red,poem,"오, 내 사랑은 붉디붉은 장미 같아라, / 유월에 갓 피어난. / 오, 내 사랑은 가락 같아라, / 곡조에 맞춰 달콤히 울리는.","O my Luve's like a red, red rose, / That's newly sprung in June: / O my Luve's like the melodie, / That's sweetly play'd in tune.",로버트 번스,"〈A Red, Red Rose〉(1794)",https://www.gutenberg.org/cache/epub/1279/pg1279.txt,pd,dearbloom,1794,confession|anniversary,"구텐베르크 판 표기를 그대로 옮겼어요. 오늘날 널리 도는 표기는 첫 행에 쉼표를 더해 “O, my Luve's like…”로 적어요.",번스 1759–1796 사망. 한국 기준 1963년 이전 사망 → 만료. 초판 1794년 Urbani 『A Selection of Scots Songs』.,2026-08-15
q-lit-rose-rilke,rose-red,poem,"장미여, 오 순수한 모순이여, / 이토록 많은 눈꺼풀 아래 / 그 누구의 잠도 아니라는 기쁨이여.","Rose, oh reiner Widerspruch, Lust, / Niemandes Schlaf zu sein unter soviel / Lidern.",라이너 마리아 릴케,"〈Grabspruch〉(묘비명, 1925)",https://www.gedichte-lyrik-poesie.de/grabspruch-rilke.html,pd,dearbloom,1925,comfort|remembrance,“Lidern”은 눈꺼풀이자 장미 꽃잎을 함께 부르는 말이에요.,릴케 1875–1926 사망. 한국 기준 1963년 이전 사망 → 만료.,2026-08-15
q-lit-rose-romeo,rose-red,play,이름이 무엇이기에? 우리가 장미라 부르는 저것은 / 다른 어떤 이름으로 불러도 그만큼 향기로울 텐데.,What's in a name? that which we call a rose / By any other name would smell as sweet;,윌리엄 셰익스피어,『로미오와 줄리엣』 2막 2장,http://shakespeare.mit.edu/romeo_juliet/romeo_juliet.2.2.html,pd,dearbloom,1597,confession|just_because,,셰익스피어 1564–1616 사망 → 만료. 원문 텍스트(Globe/Moby 판)는 편집 저작권 없음.,2026-08-15
q-lit-rose-hanyongun,rose-red,poem,당신은 해당화 피기 전에 오신다고 하였습니다 / 봄은 벌써 늦었습니다 / 봄이 오기 전에는 어서 오기를 바랐더니 / 봄이 오고 보니 너무 일찍 왔나 두려합니다,당신은 해당화픠기전에 오신다고하얏슴니다 봄은벌써 느젓슴니다 / 봄이오기전에는 어서오기를 바랏더니 봄이오고보니 너머일즉왓나 두려함니다,한용운,『님의 침묵』(1926) 〈해당화〉,https://ko.wikisource.org/wiki/님의_침묵/해당화,pd,dearbloom,1926,comfort|anniversary,해당화는 바닷가에 피는 로사 루고사(Rosa rugosa)예요. 꽃집의 절화 장미(Rosa hybrida)와 같은 장미속이지만 다른 종이에요.,한용운 1879–1944 사망. 한국 기준 1963년 이전 사망 → 만료. 한국어 위키문헌도 PD로 게시.,2026-08-15
q-lit-tulip-rubaiyat,tulip-white,poem,"튤립이 아침 한 모금 / 하늘의 술을 받으려 흙에서 고개를 들듯, / 그대도 경건히 그리하라, 하늘이 그대를 / 빈 잔처럼 땅에 엎어 놓을 그날까지.","As then the Tulip for her morning sup / Of Heav'nly Vintage from the soil looks up, / Do you devoutly do the like, till Heav'n / To Earth invert you—like an empty Cup.",오마르 하이얌 / 에드워드 피츠제럴드 옮김,『루바이야트』 40수(피츠제럴드 4·5판),"https://en.wikisource.org/wiki/The_Rubaiyat_of_Omar_Khayyam_(tr._Fitzgerald,_5th_edition)",pd,dearbloom,1859,just_because|comfort,"피츠제럴드가 옮기며 새로 지은 대목이 많아, 하이얌의 원 4행시와 한 줄씩 맞아떨어지지는 않아요.",하이얌 1048–1131 사망 → 만료. 피츠제럴드 1809–1883 사망 → 만료(영역본까지 PD).,2026-08-15
q-lit-lily-matthew,lily-asiatic,classic,"들의 백합이 어떻게 자라는지 보라. 수고하지도 않고, 실을 잣지도 않는다.","Consider the lilies of the field, how they grow; they toil not, neither do they spin:",마태복음 6장 28절,King James Bible(1611) Matthew 6:28,https://en.wikisource.org/wiki/Bible_(King_James)/Matthew,pd,dearbloom,1611,comfort|just_because,여기 '들의 백합'은 백합이 아니라 아네모네나 들꽃 무리였을 거라는 견해가 유력해요.,KJV 1611년. 영국 내 Crown copyright 는 베른협약이 인정하지 않아 영국 밖에서는 PD. 한국어는 KJV 영문에서 자체 번역(한국어 성경 번역본 미참조).,2026-08-15
q-lit-lily-blake,lily-asiatic,poem,"얌전한 장미는 가시를 내밀고 / 순한 양은 으르는 뿔을 세우지만, / 흰 백합은 사랑 안에서 기뻐할 뿐, / 가시도 으름장도 그 밝은 아름다움을 더럽히지 못한다.","The modest Rose puts forth a thorn, / The humble sheep a threat'ning horn: / While the Lily white shall in love delight, / Nor a thorn nor a threat stain her beauty bright.",윌리엄 블레이크,『경험의 노래』 〈The Lily〉(1794),https://www.gutenberg.org/cache/epub/1934/pg1934.txt,pd,dearbloom,1794,just_because|confession,구텐베르크의 현대 철자판을 옮겼어요. 블레이크가 손수 판각한 원본은 Lilly·threatning 처럼 옛 철자로 적혀 있어요.,블레이크 1757–1827 사망 → 만료.,2026-08-15
q-lit-lily-tennyson,lily-asiatic,poem,"붉은 장미가 외친다, “그녀가 가까이 왔어, 가까이 왔어.” / 흰 장미가 운다, “늦는구나.” / 참제비고깔이 귀 기울인다, “들려, 들려.” / 그리고 백합이 속삭인다, “나는 기다린다.”","The red rose cries, 'She is near, she is near;' / And the white rose weeps, 'She is late;' / The larkspur listens, 'I hear, I hear;' / And the lily whispers, 'I wait.'",알프레드 테니슨,『Maud』 1부 22절(1855),https://en.wikisource.org/wiki/Maud,pd,dearbloom,1855,confession|anniversary,,"테니슨 1809–1892 사망 → 만료. 초판 『Maud, and Other Poems』(1855).",2026-08-15
q-lit-anemone-ovid,anemone,classic,"그러나 그 꽃을 누릴 시간은 짧다. / 잘 붙어 있지 못하고 너무 가벼워 쉬이 지는 그 꽃을, / 그 꽃에 이름을 준 바로 그 바람이 떨어뜨리기 때문이다.","brevis est tamen usus in illo; / namque male haerentem et nimia levitate caducum / excutiunt idem, qui praestant nomina, venti.",오비디우스,『변신 이야기』 10권 737~739행,https://www.thelatinlibrary.com/ovid/ovid.met10.shtml,pd,dearbloom,8년경,comfort|remembrance,라틴어 원문에는 '아네모네'라는 말이 한 번도 안 나와요. 그 이름을 준 바람(그리스어 ἄνεμος)이라는 말장난으로만 가리켜요.,오비디우스 BC 43–AD 17/18 사망 → 만료.,2026-08-15
q-lit-hellebore-burton,hellebore,essay,"보리지와 헬레보어가 두 장면을 채운다, / 우울을 핏줄에서 씻어 내고 / 마음을 북돋우는 으뜸가는 풀들.","Borage and Hellebor fill two scenes, / Sovereign plants to purge the veins / Of melancholy, and cheer the heart,",로버트 버튼,『우울의 해부』(1621) 권두시 〈The Author's Abstract of Melancholy〉,https://www.gutenberg.org/ebooks/10800.txt.utf-8,pd,dearbloom,1621,comfort,17세기 영국에서는 헬레보어를 우울증 약초로 믿었어요. 실제로는 독성이 강해서 지금은 그렇게 쓰지 않아요.,"버튼 1577–1640 사망 → 만료. 1621년 초판, 데모크리투스 주니어라는 필명으로 발표.",2026-08-15
q-lit-hyacinth-ovid,hyacinth,classic,"그는 제 탄식을 꽃잎에 새겨 넣었다. 그리하여 꽃에는 / '아이 아이'라 적혔으니, 슬픔의 글자가 거기 그어졌다.","ipse suos gemitus foliis inscribit, et AI AI / flos habet inscriptum, funestaque littera ducta est.",오비디우스,『변신 이야기』 10권 215~216행,https://www.thelatinlibrary.com/ovid/ovid.met10.shtml,pd,dearbloom,8년경,apology|comfort|remembrance,오비디우스가 말한 꽃은 오늘날의 히아신스가 아니라 제비고깔·붓꽃류였다는 설이 유력해요.,오비디우스 BC 43–AD 17/18 사망 → 만료.,2026-08-15
