flower_id,species,toxic,severity,toxic_parts,safe_alternative_flower_ids,source_url,reviewed_at
rose-red,cat,false,none,,,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/rose,2026-08-14
rose-red,dog,false,none,,,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/rose,2026-08-14
tulip-white,cat,true,mild_gi,bulb|stem|leaf,freesia|gerbera,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/tulip,2026-08-14
tulip-white,dog,true,mild_gi,bulb|stem|leaf,freesia|gerbera,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/tulip,2026-08-14
freesia,cat,false,none,,,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/freesia,2026-08-14
freesia,dog,false,none,,,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/freesia,2026-08-14
lily-asiatic,cat,true,life_threatening,flower|leaf|pollen|vase_water,freesia|gerbera,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/lily,2026-08-14
lily-asiatic,dog,true,mild_gi,flower|leaf,freesia|gerbera,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/lily,2026-08-14
gerbera,cat,false,none,,,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/gerber-daisy,2026-08-14
gerbera,dog,false,none,,,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/gerber-daisy,2026-08-14
anemone,cat,true,mild_gi,flower|leaf|stem|root|seed|sap,freesia|gerbera,https://plants.ces.ncsu.edu/plants/anemone-coronaria/,2026-08-14
anemone,dog,true,mild_gi,flower|leaf|stem|root|seed|sap,freesia|gerbera,https://plants.ces.ncsu.edu/plants/anemone-coronaria/,2026-08-14
hellebore,cat,true,serious,flower|leaf|stem|root|sap,freesia|gerbera,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/hellebore,2026-08-14
hellebore,dog,true,serious,flower|leaf|stem|root|sap,freesia|gerbera,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/hellebore,2026-08-14
hyacinth,cat,true,serious,bulb|flower|leaf|stem,freesia|gerbera,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/hyacinth,2026-08-14
hyacinth,dog,true,serious,bulb|flower|leaf|stem,freesia|gerbera,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/hyacinth,2026-08-14
peony,cat,true,mild_gi,root|bark|flower|leaf|stem,freesia|gerbera,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/peony,2026-08-14
peony,dog,true,mild_gi,root|bark|flower|leaf|stem,freesia|gerbera,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/peony,2026-08-14
hydrangea,cat,true,mild_gi,flower|leaf|stem|bud,freesia|gerbera|sunflower|lisianthus,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/hydrangea,2026-08-15
hydrangea,dog,true,mild_gi,flower|leaf|stem|bud,freesia|gerbera|sunflower|lisianthus,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/hydrangea,2026-08-15
lavender,cat,true,mild_gi,flower|leaf|stem,freesia|gerbera|sunflower|lisianthus,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/lavender,2026-08-15
lavender,dog,true,mild_gi,flower|leaf|stem,freesia|gerbera|sunflower|lisianthus,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/lavender,2026-08-15
sunflower,cat,false,none,,,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/sunflower,2026-08-15
sunflower,dog,false,none,,,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/sunflower,2026-08-15
carnation,cat,true,mild_gi,flower|leaf|stem,freesia|gerbera|sunflower|lisianthus,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/carnation,2026-08-15
carnation,dog,true,mild_gi,flower|leaf|stem,freesia|gerbera|sunflower|lisianthus,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/carnation,2026-08-15
lisianthus,cat,false,none,,,https://plants.ces.ncsu.edu/plants/eustoma-grandiflorum/,2026-08-15
lisianthus,dog,false,none,,,https://plants.ces.ncsu.edu/plants/eustoma-grandiflorum/,2026-08-15
ranunculus,cat,true,mild_gi,flower|leaf|stem|root|sap,freesia|gerbera|sunflower|lisianthus,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/buttercup,2026-08-15
ranunculus,dog,true,mild_gi,flower|leaf|stem|root|sap,freesia|gerbera|sunflower|lisianthus,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/buttercup,2026-08-15
lily-of-the-valley,cat,true,life_threatening,flower|leaf|stem|root|berry|seed,freesia|gerbera|sunflower|lisianthus,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/lily-valley,2026-08-15
lily-of-the-valley,dog,true,life_threatening,flower|leaf|stem|root|berry|seed,freesia|gerbera|sunflower|lisianthus,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/lily-valley,2026-08-15
chrysanthemum,cat,true,mild_gi,flower|leaf|stem,freesia|gerbera|sunflower|lisianthus,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/chrysanthemum,2026-08-15
chrysanthemum,dog,true,mild_gi,flower|leaf|stem,freesia|gerbera|sunflower|lisianthus,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/chrysanthemum,2026-08-15
